feature,coefficient,absolute_coefficient,odds_ratio,direction
categorical__payment_type_AE,-0.22372981429824815,0.22372981429824815,0.799531127067621,Decreases predicted fraud risk
categorical__source_device_os_TELEAPP_other,-0.22201975567847487,0.22201975567847487,0.8008995418645282,Decreases predicted fraud risk
categorical__source_device_os_TELEAPP_macintosh,0.2173770532389856,0.2173770532389856,1.2428126203280097,Increases predicted fraud risk
categorical__device_os_macintosh,0.2128990504837597,0.2128990504837597,1.237259744166415,Increases predicted fraud risk
numeric__current_address_months_count_unknown_flag,-0.20572965581998715,0.20572965581998715,0.8140531210611681,Decreases predicted fraud risk
numeric__very_short_session_flag,-0.201560865648346,0.201560865648346,0.8174538211890676,Decreases predicted fraud risk
categorical__credit_risk_band_high,-0.20046773816747188,0.20046773816747188,0.8183478910024673,Decreases predicted fraud risk
categorical__credit_risk_band_medium,-0.1987080898100149,0.1987080898100149,0.8197891632189506,Decreases predicted fraud risk
numeric__name_email_mismatch_score,0.1984682372850084,0.1984682372850084,1.2195332911107208,Increases predicted fraud risk
numeric__name_email_similarity,-0.19846823728498858,0.19846823728498858,0.8199858153025446,Decreases predicted fraud risk
categorical__customer_age_group_30-39,-0.18250997299629762,0.18250997299629762,0.8331763346223957,Decreases predicted fraud risk
categorical__employment_status_CD,-0.1779021954463234,0.1779021954463234,0.8370242842720639,Decreases predicted fraud risk
numeric__total_known_address_months,-0.1757340838812359,0.1757340838812359,0.8388410150288754,Decreases predicted fraud risk
categorical__customer_age_group_40-49,-0.16421905522955563,0.16421905522955563,0.8485561208638086,Decreases predicted fraud risk
categorical__employment_status_CG,0.16126596215578382,0.16126596215578382,1.1749974321104082,Increases predicted fraud risk
numeric__bank_months_count_unknown_flag,0.15805313377005714,0.15805313377005714,1.1712284248362037,Increases predicted fraud risk
categorical__payment_type_AB,-0.15587207798458552,0.15587207798458552,0.8556686422274589,Decreases predicted fraud risk
numeric__log_abs_intended_balcon_amount,0.14720165222677306,0.14720165222677306,1.1585875712389078,Increases predicted fraud risk
categorical__payment_type_AD,-0.14298872957347009,0.14298872957347009,0.8667638376385908,Decreases predicted fraud risk
categorical__credit_risk_band_low,0.141040394170698,0.141040394170698,1.1514711597679168,Increases predicted fraud risk
categorical__source_device_os_TELEAPP_linux,-0.13471133415821201,0.13471133415821201,0.8739681600331543,Decreases predicted fraud risk
categorical__customer_age_group_70+,-0.1342715173109609,0.1342715173109609,0.8743526304959937,Decreases predicted fraud risk
numeric__current_address_months_count,0.13387192918082536,0.13387192918082536,1.1432463937662378,Increases predicted fraud risk
numeric__short_current_address_flag,-0.13171226869852112,0.13171226869852112,0.8765931820937358,Decreases predicted fraud risk
numeric__session_length_in_minutes,0.12767531003141444,0.12767531003141444,1.136184035241576,Increases predicted fraud risk
categorical__source_device_os_INTERNET_other,-0.11866991596895476,0.11866991596895476,0.888100900310698,Decreases predicted fraud risk
categorical__customer_age_group_<20,0.11568820347368769,0.11568820347368769,1.1226457805027739,Increases predicted fraud risk
categorical__source_TELEAPP,-0.11351799977262046,0.11351799977262046,0.8926881280832458,Decreases predicted fraud risk
numeric__zip_count_4w,0.10701936165814678,0.10701936165814678,1.1129558029405069,Increases predicted fraud risk
categorical__customer_age_group_20-29,0.10599741593676248,0.10599741593676248,1.111819003492205,Increases predicted fraud risk
categorical__source_device_os_TELEAPP_windows,0.10191272541575214,0.10191272541575214,1.1072868295131013,Increases predicted fraud risk
categorical__source_INTERNET,-0.0947557519869157,0.0947557519869157,0.9095950741281088,Decreases predicted fraud risk
numeric__date_of_birth_distinct_emails_4w,-0.09144472935003295,0.09144472935003295,0.912611755402982,Decreases predicted fraud risk
numeric__velocity_6h_to_24h_ratio,-0.08783107458597975,0.08783107458597975,0.915915585075288,Decreases predicted fraud risk
categorical__housing_status_BC,-0.08698151404596378,0.08698151404596378,0.9166940414404374,Decreases predicted fraud risk
categorical__source_device_os_TELEAPP_x11,-0.07607668859067862,0.07607668859067862,0.9267451330559814,Decreases predicted fraud risk
categorical__employment_status_CB,-0.07311326462825748,0.07311326462825748,0.9294955450959937,Decreases predicted fraud risk
categorical__payment_type_AA,0.07236680831512768,0.07236680831512768,1.0750496088852994,Increases predicted fraud risk
numeric__velocity_6h,0.05793304138495871,0.05793304138495871,1.0596440410373762,Increases predicted fraud risk
categorical__source_device_os_INTERNET_x11,0.05740917880985037,0.05740917880985037,1.059089078556069,Increases predicted fraud risk
categorical__customer_age_group_60-69,0.05266635776017953,0.05266635776017953,1.0540779015323472,Increases predicted fraud risk
categorical__device_os_x11,-0.01866750978082835,0.01866750978082835,0.9815056490245807,Decreases predicted fraud risk
numeric__intended_balcon_amount,-0.0049751814239703115,0.0049751814239703115,0.995037174291995,Decreases predicted fraud risk
categorical__source_device_os_INTERNET_macintosh,-0.004478002755250211,0.004478002755250211,0.9955320085499623,Decreases predicted fraud risk
numeric__prev_address_months_count,0.004060920447376288,0.004060920447376288,1.0040691771576475,Increases predicted fraud risk
categorical__customer_age_group_50-59,-0.0016251833919926975,0.0016251833919926975,0.9983761365034153,Decreases predicted fraud risk
numeric__bank_branch_count_8w,-0.0013960003448940665,0.0013960003448940665,0.9986049736103207,Decreases predicted fraud risk
numeric__days_since_request,0.00022017033279790534,0.00022017033279790534,1.0002201945720646,Increases predicted fraud risk
numeric__device_fraud_count,0.0,0.0,1.0,Decreases predicted fraud risk
